tahun,provinsi,pengangguran,ump,lpengangguran,lump
2008,Aceh ,163868,1000000,12.006817,13.815511
2009,Aceh ,173624,1200000,12.064648,13.997832
2010,Aceh ,166275,1300000,12.021399,14.077875
2011,Aceh ,178020,1350000,12.089651,14.115615
2012,Aceh ,165707,1400000,12.017977,14.151983
2013,Aceh ,177981,1550000,12.089432,14.253765
2014,Aceh ,146670,1750000,11.895941,14.375126
2015,Aceh ,174706,1900000,12.07086,14.457364
2016,Aceh ,181807,2118500,12.110701,14.566218
2018,Aceh ,156711,2700000,11.962158,14.808763
2019,Aceh ,136996,2916810,11.827707,14.886002
2020,Aceh ,137674,3165031,11.832644,14.967673
2008,Bali ,95512,682650,11.467008,13.433738
2009,Bali ,60405,760000,11.008827,13.541074
2010,Bali ,75635,829316,11.233674,13.628357
2011,Bali ,68896,890000,11.140353,13.698977
2012,Bali ,51136,967500,10.842244,13.782471
2013,Bali ,45914,1181000,10.734526,13.981873
2014,Bali ,33028,1542600,10.405111,14.24898
2015,Bali ,33611,1621172,10.422608,14.29866
2016,Bali ,50402,1807600,10.827786,14.407511
2018,Bali ,23394,2127157,10.060235,14.570297
2019,Bali ,31348,2297969,10.352905,14.647536
2020,Bali ,32986,2494000,10.403838,14.729399
2008,Bangka-Belitung ,29017,813000,10.275637,13.608486
2009,Bangka-Belitung ,26817,850000,10.196792,13.652991
2010,Bangka-Belitung ,23324,910000,10.057239,13.7212
2011,Bangka-Belitung ,20201,1024000,9.9134874,13.839227
2012,Bangka-Belitung ,17338,1110000,9.7606564,13.91987
2013,Bangka-Belitung ,21282,1265000,9.9656172,14.050583
2014,Bangka-Belitung ,17142,1640000,9.7492867,14.310206
2015,Bangka-Belitung ,23174,2100000,10.050786,14.557447
2016,Bangka-Belitung ,42398,2341500,10.654857,14.666303
2018,Bangka-Belitung ,26949,2755444,10.201701,14.829089
2019,Bangka-Belitung ,24166,2976706,10.092702,14.906328
2020,Bangka-Belitung ,25436,3230024,10.143921,14.988
2008,Banten ,601836,837000,13.30774,13.637579
2009,Banten ,663895,917500,13.405879,13.729408
2010,Banten ,627828,955300,13.350021,13.769781
2011,Banten ,707410,1000000,13.469366,13.815511
2012,Banten ,580750,1042000,13.272076,13.856652
2013,Banten ,539787,1170000,13.19893,13.972514
2014,Banten ,540999,1325000,13.201173,14.096923
2015,Banten ,488883,1600000,13.099878,14.285514
2016,Banten ,452058,1784000,13.021565,14.394368
2018,Banten ,471521,2099385,13.063719,14.557155
2019,Banten ,463053,2267990,13.045597,14.634404
2020,Banten ,487496,2460997,13.097037,14.716077
2008,Bengkulu ,33285,690000,10.412862,13.444447
2009,Bengkulu ,46054,735000,10.73757,13.507626
2010,Bengkulu ,35677,780000,10.482262,13.567049
2011,Bengkulu ,31312,815000,10.351757,13.610944
2012,Bengkulu ,20300,930000,9.918376,13.74294
2013,Bengkulu ,19886,1200000,9.8977709,13.997832
2014,Bengkulu ,15701,1350000,9.6614799,14.115615
