year;provinsi;ump
2020;Aceh ;3165031
2019;Aceh ;2916810
2018;Aceh ;2700000
2016;Aceh ;2118500
2015;Aceh ;1900000
2014;Aceh ;1750000
2013;Aceh ;1550000
2012;Aceh ;1400000
2011;Aceh ;1350000
2010;Aceh ;1300000
2009;Aceh ;1200000
2008;Aceh ;1000000
2020;Bali ;2494000
2019;Bali ;2297969
2018;Bali ;2127157
2016;Bali ;1807600
2015;Bali ;1621172
2014;Bali ;1542600
2013;Bali ;1181000
2012;Bali ;967500
2011;Bali ;890000
2010;Bali ;829316
2009;Bali ;760000
2008;Bali ;682650
2020;Bangka-Belitung ;3230024
2019;Bangka-Belitung ;2976706
2018;Bangka-Belitung ;2755444
2016;Bangka-Belitung ;2341500
2015;Bangka-Belitung ;2100000
2014;Bangka-Belitung ;1640000
2013;Bangka-Belitung ;1265000
2012;Bangka-Belitung ;1110000
2011;Bangka-Belitung ;1024000
2010;Bangka-Belitung ;910000
2009;Bangka-Belitung ;850000
2008;Bangka-Belitung ;813000
2020;Banten ;2460997
2019;Banten ;2267990
2018;Banten ;2099385
2016;Banten ;1784000
2015;Banten ;1600000
2014;Banten ;1325000
2013;Banten ;1170000
2012;Banten ;1042000
2011;Banten ;1000000
2010;Banten ;955300
2009;Banten ;917500
2008;Banten ;837000
2020;Bengkulu ;2213604
2019;Bengkulu ;2040407
2018;Bengkulu ;1888741
2016;Bengkulu ;1605000
2015;Bengkulu ;1500000
2014;Bengkulu ;1350000
2013;Bengkulu ;1200000
2012;Bengkulu ;930000
2011;Bengkulu ;815000
2010;Bengkulu ;780000
2009;Bengkulu ;735000
2008;Bengkulu ;690000
2020;D I Y ;1704608
2019;D I Y ;1570923
2018;D I Y ;1454154
2016;D I Y ;-
2015;D I Y ;988500
2014;D I Y ;988500
2013;D I Y ;947114
2012;D I Y ;892660
2011;D I Y ;808000
2010;D I Y ;745694
2009;D I Y ;700000
2008;D I Y ;586000
2020;DKI Jakarta ;4276350
2019;DKI Jakarta ;3940973
2018;DKI Jakarta ;3648036
2016;DKI Jakarta ;3100000
2015;DKI Jakarta ;2700000
2014;DKI Jakarta ;2441000
2013;DKI Jakarta ;2200000
2012;DKI Jakarta ;1529150
2011;DKI Jakarta ;1290000
2010;DKI Jakarta ;1118009
2009;DKI Jakarta ;1069865
2008;DKI Jakarta ;972604
2020;Gorontalo ;2788826
2019;Gorontalo ;2384020
2018;Gorontalo ;2206813
2016;Gorontalo ;1875000
2015;Gorontalo ;1600000
2014;Gorontalo ;1325000
2013;Gorontalo ;1175000
2012;Gorontalo ;837500
2011;Gorontalo ;762500
2010;Gorontalo ;710000
2009;Gorontalo ;675000
2008;Gorontalo ;600000
2020;Jambi ;2630162
2019;Jambi ;2423889
2018;Jambi ;2243719
2016;Jambi ;1906650
2015;Jambi ;1710000
2014;Jambi ;1502300
2013;Jambi ;1300000
2012;Jambi ;1142500
2011;Jambi ;1028000
2010;Jambi ;900000
2009;Jambi ;800000
2008;Jambi ;724000
2020;Jawa Barat ;1810351
2019;Jawa Barat ;1668373
2018;Jawa Barat ;1544361
2016;Jawa Barat ;2250000
2015;Jawa Barat ;1000000
2014;Jawa Barat ;1000000
2013;Jawa Barat ;850000
2012;Jawa Barat ;780000
2011;Jawa Barat ;732000
2010;Jawa Barat ;671500
2009;Jawa Barat ;628191
2008;Jawa Barat ;568193
2020;Jawa Tengah ;1742015
2019;Jawa Tengah ;1605396
2018;Jawa Tengah ;1486065
2016;Jawa Tengah ;-
2015;Jawa Tengah ;910000
2014;Jawa Tengah ;910000
2013;Jawa Tengah ;830000
2012;Jawa Tengah ;765000
2011;Jawa Tengah ;675000
2010;Jawa Tengah ;660000
2009;Jawa Tengah ;575000
2008;Jawa Tengah ;547000
2020;Jawa Timur ;1768777
2019;Jawa Timur ;1630059
2018;Jawa Timur ;1508895
2016;Jawa Timur ;-
2015;Jawa Timur ;1000000
2014;Jawa Timur ;1000000
2013;Jawa Timur ;866250
2012;Jawa Timur ;745000
2011;Jawa Timur ;705000
2010;Jawa Timur ;630000
2009;Jawa Timur ;570000
2008;Jawa Timur ;500000
2020;Kalimantan Barat ;2399699
2019;Kalimantan Barat ;2211500
2018;Kalimantan Barat ;2046900
2016;Kalimantan Barat ;1739400
2015;Kalimantan Barat ;1560000
2014;Kalimantan Barat ;1380000
2013;Kalimantan Barat ;1060000
2012;Kalimantan Barat ;900000
2011;Kalimantan Barat ;802500
2010;Kalimantan Barat ;741000
2009;Kalimantan Barat ;705000
2008;Kalimantan Barat ;645000
2020;Kalimantan Selatan ;2877449
2019;Kalimantan Selatan ;2651782
2018;Kalimantan Selatan ;2454671
2016;Kalimantan Selatan ;2085050
2015;Kalimantan Selatan ;1870000
2014;Kalimantan Selatan ;1620000
2013;Kalimantan Selatan ;1337500
2012;Kalimantan Selatan ;1225000
2011;Kalimantan Selatan ;1126000
2010;Kalimantan Selatan ;1024500
2009;Kalimantan Selatan ;930000
2008;Kalimantan Selatan ;825000
2020;Kalimantan Tengah ;2903145
2019;Kalimantan Tengah ;2663435
2018;Kalimantan Tengah ;2421305
2016;Kalimantan Tengah ;2057558
2015;Kalimantan Tengah ;1896367
2014;Kalimantan Tengah ;1723970
2013;Kalimantan Tengah ;1553127
2012;Kalimantan Tengah ;1327459
2011;Kalimantan Tengah ;1134580
2010;Kalimantan Tengah ;986590
2009;Kalimantan Tengah ;873089
2008;Kalimantan Tengah ;765868
2020;Kalimantan Timur ;2981379
2019;Kalimantan Timur ;2747561
2018;Kalimantan Timur ;2543332
2016;Kalimantan Timur ;2161253
2015;Kalimantan Timur ;2026126
2014;Kalimantan Timur ;1886315
2013;Kalimantan Timur ;1752073
2012;Kalimantan Timur ;1177000
2011;Kalimantan Timur ;1084000
2010;Kalimantan Timur ;1002000
2009;Kalimantan Timur ;955000
2008;Kalimantan Timur ;889654
2020;Kalimantan Utara ;3000804
2019;Kalimantan Utara ;2765463
2018;Kalimantan Utara ;2559903
2016;Kalimantan Utara ;2175340
2015;Kalimantan Utara ;2026126
2014;Kalimantan Utara ;-
2013;Kalimantan Utara ;-
2012;Kalimantan Utara ;-
2011;Kalimantan Utara ;-
2010;Kalimantan Utara ;-
2009;Kalimantan Utara ;-
2008;Kalimantan Utara ;-
2020;Kepulauan Riau ;3005460
2019;Kepulauan Riau ;2769754
2018;Kepulauan Riau ;2563875
2016;Kepulauan Riau ;2178710
2015;Kepulauan Riau ;1954000
2014;Kepulauan Riau ;1665000
2013;Kepulauan Riau ;1365087
2012;Kepulauan Riau ;1015000
2011;Kepulauan Riau ;975000
2010;Kepulauan Riau ;925000
2009;Kepulauan Riau ;892000
2008;Kepulauan Riau ;833000
2020;Lampung ;2432002
2019;Lampung ;2241270
2018;Lampung ;2074673
2016;Lampung ;1763000
2015;Lampung ;1581000
2014;Lampung ;1399037
2013;Lampung ;1150000
2012;Lampung ;975000
2011;Lampung ;855000
2010;Lampung ;767500
2009;Lampung ;691000
2008;Lampung ;617000
2020;Maluku ;2604961
2019;Maluku ;2400664
2018;Maluku ;2222220
2016;Maluku ;1775000
2015;Maluku ;1650000
2014;Maluku ;1415000
2013;Maluku ;1275000
2012;Maluku ;975000
2011;Maluku ;900000
2010;Maluku ;840000
2009;Maluku ;775000
2008;Maluku ;700000
2020;Maluku Utara ;2721530
2019;Maluku Utara ;2508091
2018;Maluku Utara ;2320803
2016;Maluku Utara ;1681266
2015;Maluku Utara ;1577617
2014;Maluku Utara ;1440746
2013;Maluku Utara ;1200622
2012;Maluku Utara ;960498
2011;Maluku Utara ;889350
2010;Maluku Utara ;847000
2009;Maluku Utara ;770000
2008;Maluku Utara ;700000
2020;Nusa Tenggara Barat ;2183883
2019;Nusa Tenggara Barat ;2012610
2018;Nusa Tenggara Barat ;1825000
2016;Nusa Tenggara Barat ;1482950
2015;Nusa Tenggara Barat ;1330000
2014;Nusa Tenggara Barat ;1210000
2013;Nusa Tenggara Barat ;1100000
2012;Nusa Tenggara Barat ;1000000
2011;Nusa Tenggara Barat ;950000
2010;Nusa Tenggara Barat ;890775
2009;Nusa Tenggara Barat ;832500
2008;Nusa Tenggara Barat ;730000
2020;Nusa Tenggara Timur ;1950000
2019;Nusa Tenggara Timur ;1795000
2018;Nusa Tenggara Timur ;1660000
2016;Nusa Tenggara Timur ;1425000
2015;Nusa Tenggara Timur ;1250000
2014;Nusa Tenggara Timur ;1150000
2013;Nusa Tenggara Timur ;1010000
2012;Nusa Tenggara Timur ;925000
2011;Nusa Tenggara Timur ;850000
2010;Nusa Tenggara Timur ;800000
2009;Nusa Tenggara Timur ;725000
2008;Nusa Tenggara Timur ;650000
2020;Papua ;3516700
2019;Papua ;3240900
2018;Papua ;3000000
2016;Papua ;2435000
2015;Papua ;2193000
2014;Papua ;2040000
2013;Papua ;1710000
2012;Papua ;1585000
2011;Papua ;1403000
2010;Papua ;1316500
2009;Papua ;1216100
2008;Papua ;1105500
2020;Papua Barat ;3134600
2019;Papua Barat ;2934500
2018;Papua Barat ;2667000
2016;Papua Barat ;2237000
2015;Papua Barat ;2015000
2014;Papua Barat ;1870000
2013;Papua Barat ;1720000
2012;Papua Barat ;1450000
2011;Papua Barat ;1410000
2010;Papua Barat ;1210000
2009;Papua Barat ;1180000
2008;Papua Barat ;1105500
2020;Riau ;2888564
2019;Riau ;2662026
2018;Riau ;2464154
2016;Riau ;2095000
2015;Riau ;1878000
2014;Riau ;1700000
2013;Riau ;1400000
2012;Riau ;1238000
2011;Riau ;1120000
2010;Riau ;1016000
2009;Riau ;901600
2008;Riau ;800000
2020;Sulawesi Barat ;2678863
2019;Sulawesi Barat ;2381000
2018;Sulawesi Barat ;2193530
2016;Sulawesi Barat ;1864000
2015;Sulawesi Barat ;1655500
2014;Sulawesi Barat ;1400000
2013;Sulawesi Barat ;1165000
2012;Sulawesi Barat ;1127000
2011;Sulawesi Barat ;1006000
2010;Sulawesi Barat ;944200
2009;Sulawesi Barat ;909400
2008;Sulawesi Barat ;760500
2020;Sulawesi Selatan ;3103800
2019;Sulawesi Selatan ;2860382
2018;Sulawesi Selatan ;2647767
2016;Sulawesi Selatan ;2250000
2015;Sulawesi Selatan ;2000000
2014;Sulawesi Selatan ;1800000
2013;Sulawesi Selatan ;1440000
2012;Sulawesi Selatan ;1200000
2011;Sulawesi Selatan ;1100000
2010;Sulawesi Selatan ;1000000
2009;Sulawesi Selatan ;905000
2008;Sulawesi Selatan ;740520
2020;Sulawesi Tengah ;2303711
2019;Sulawesi Tengah ;2123040
2018;Sulawesi Tengah ;1965232
2016;Sulawesi Tengah ;1670000
2015;Sulawesi Tengah ;1500000
2014;Sulawesi Tengah ;1250000
2013;Sulawesi Tengah ;995000
2012;Sulawesi Tengah ;885000
2011;Sulawesi Tengah ;827500
2010;Sulawesi Tengah ;777500
2009;Sulawesi Tengah ;720000
2008;Sulawesi Tengah ;670000
2020;Sulawesi Tenggara ;2552015
2019;Sulawesi Tenggara ;2351870
2018;Sulawesi Tenggara ;2177052
2016;Sulawesi Tenggara ;1850000
2015;Sulawesi Tenggara ;1652000
2014;Sulawesi Tenggara ;1400000
2013;Sulawesi Tenggara ;1125207
2012;Sulawesi Tenggara ;1032300
2011;Sulawesi Tenggara ;930000
2010;Sulawesi Tenggara ;860000
2009;Sulawesi Tenggara ;770000
2008;Sulawesi Tenggara ;700000
2020;Sulawesi Utara ;3310723
2019;Sulawesi Utara ;3051076
2018;Sulawesi Utara ;2824286
2016;Sulawesi Utara ;2400000
2015;Sulawesi Utara ;2150000
2014;Sulawesi Utara ;1900000
2013;Sulawesi Utara ;1550000
2012;Sulawesi Utara ;1250000
2011;Sulawesi Utara ;1050000
2010;Sulawesi Utara ;1000000
2009;Sulawesi Utara ;929500
2008;Sulawesi Utara ;845000
2020;Sumatera Barat ;2484041
2019;Sumatera Barat ;2289220
2018;Sumatera Barat ;2119067
2016;Sumatera Barat ;1800725
2015;Sumatera Barat ;1615000
2014;Sumatera Barat ;1490000
2013;Sumatera Barat ;1350000
2012;Sumatera Barat ;1150000
2011;Sumatera Barat ;1055000
2010;Sumatera Barat ;940000
2009;Sumatera Barat ;880000
2008;Sumatera Barat ;800000
2020;Sumatera Selatan ;3043111
2019;Sumatera Selatan ;2804453
2018;Sumatera Selatan ;2595995
2016;Sumatera Selatan ;2206000
2015;Sumatera Selatan ;1974346
2014;Sumatera Selatan ;1825000
2013;Sumatera Selatan ;1630000
2012;Sumatera Selatan ;1195220
2011;Sumatera Selatan ;1048440
2010;Sumatera Selatan ;927825
2009;Sumatera Selatan ;824730
2008;Sumatera Selatan ;743000
2020;Sumatera Utara ;2499423
2019;Sumatera Utara ;2303403
2018;Sumatera Utara ;2132189
2016;Sumatera Utara ;1811875
2015;Sumatera Utara ;1625000
2014;Sumatera Utara ;1505850
2013;Sumatera Utara ;1375000
2012;Sumatera Utara ;1200000
2011;Sumatera Utara ;1035500
2010;Sumatera Utara ;965000
2009;Sumatera Utara ;905000
2008;Sumatera Utara ;822205
